Segundo,Corrente,Impedancia
1.42,0.0383162641329791,248.86794670856133
3.6,0.2748270389395508,178.4585560026523
5.58,0.1886920157835783,180.04150044764387
7.08,0.1765997368487393,181.03400637870485
8.63,0.1714248214655153,180.926834599953
10.19,0.1719361312443752,179.56302325628647
11.71,0.1720841407618095,179.75641258112535
13.25,0.1725324457461803,179.55468735903472
15.55,0.1726926119289739,178.57231570144845
17.1,0.1729839881788116,179.8522840805331
18.65,0.1734044587839617,178.44833224901365
20.18,0.1737879731484306,177.67838318120306
21.68,0.1741125233803888,177.3244818786108
23.17,0.1749612911062091,176.3796193403731
24.73,0.1749076960184066,176.32848776500273
26.62,0.174741099631692,176.6251713195239
28.84,0.1755176903521413,175.27505996498118
30.43,0.1753644908271081,175.04320296151985
31.98,0.1760878935019756,175.3425711946262
34.05,0.1758268412978242,175.18943888230143
36.13,0.1756641729465101,175.43786134797634
37.64,0.1770040772402984,172.56595996354898
39.86,0.1771914063178391,172.85557840941823
41.76,0.1767505227199494,173.1269140722786
43.24,0.1769966321433599,172.72172140602635
44.76,0.1772956252320398,172.21871061555606
46.98,0.1781247406026897,171.67148649143817
48.84,0.1775609224191706,172.30835014774146
50.29,0.1780581945927965,171.38593669199713
52.46,0.1784336044388884,170.85280911149889
54.4,0.1787436647530698,170.08655869784647
55.97,0.178554434851463,171.43217942215438
57.54,0.1786724185530372,170.30615301539916
59.12,0.1784035193318836,169.80752953347593
